9,0,7
2,1,3
2,2,3
10,2,2
7,3,3
3,4,20
5,4,6
6,4,1
7,4,15
8,4,1
9,4,5
6,5,6
9,6,10
0,7,1
1,7,1
2,7,1
7,7,19
8,7,46
10,7,1
10,8,2
11,8,25
6,9,3
5,10,6
5,11,1
5,12,10
3,13,1
6,13,2
7,13,3
11,13,1
5,14,2
3,15,1
5,15,5
10,15,1
0,16,15
1,16,51
2,16,35
3,16,6
4,16,15
5,16,25
6,16,8
7,16,26
8,16,59
9,16,6
10,16,23
11,16,4
9,17,4
10,17,1
5,18,3
7,19,10
5,20,2
8,21,4
6,22,12
9,22,21
10,22,1
6,23,2
10,24,1
11,24,2
10,25,31
10,26,3
10,27,7
0,28,2
2,28,1
9,28,1
10,28,17
10,29,5
10,30,2
10,31,1
5,32,1
1,33,2
3,33,1
10,33,2
1,34,1
10,34,10
11,34,1
8,35,1
4,37,2
10,37,2
4,39,17
5,39,1
6,39,34
7,39,11
8,39,5
9,39,26
10,39,3
11,39,4
3,40,18
7,40,6
10,40,2
0,41,1
9,41,15
9,42,4
11,42,2
1,43,4
2,43,2
3,43,1
5,43,1
6,43,3
9,43,1
11,43,1
3,44,3
5,44,2
6,44,1
2,45,6
4,45,1
5,45,2
6,45,1
10,45,7
7,46,6
8,47,12
7,48,1
10,48,1
1,49,2
2,49,1
3,49,3
4,49,1
5,49,2
6,49,3
7,49,1
10,49,2
7,50,1
9,50,1
0,51,3
1,51,3
6,51,1
6,52,2
1,53,3
2,55,1
3,56,1
7,56,1
3,57,5
1,58,1
2,58,1
3,58,1
1,59,1
6,59,1
8,60,3
0,61,4
3,61,6
4,61,15
9,61,14
10,61,2
11,61,3
0,62,1
3,62,6
4,62,40
9,62,18
11,62,5
1,63,6
2,63,2
3,63,1
5,63,1
6,63,1
3,64,6
4,64,1
10,64,4
1,65,3
0,66,1
1,66,2
2,66,5
3,66,5
4,66,1
6,66,1
7,66,1
8,66,5
9,66,2
11,66,1
3,67,2
6,67,1
2,68,1
10,68,2
5,69,22
4,70,2
5,70,4
9,70,1
1,71,1
7,72,6
8,72,1
4,73,5
11,74,1
9,75,1
3,76,1
6,76,7
10,76,1
11,76,1
8,77,11
10,77,1
4,78,1
5,78,1
6,78,6
7,79,3
0,80,3
1,80,4
2,80,17
3,80,17
4,80,41
5,80,47
6,80,14
7,80,5
8,80,8
9,80,38
10,80,69
11,80,130
0,81,2
1,81,2
2,81,2
3,81,10
4,81,15
5,81,7
6,81,6
7,81,1
9,81,3
10,81,23
11,81,15
11,82,23
9,83,1
11,83,15
10,84,3
10,85,10
11,85,2
0,86,1
2,86,86
3,86,26
4,86,12
5,86,9
6,86,25
7,86,22
8,86,17
9,86,17
10,86,16
11,86,43
5,87,5
6,87,8
7,87,1
9,87,1
11,87,1
4,88,2
5,88,1
6,88,1
11,88,13
8,89,8
10,90,17
6,91,3
9,91,1
10,91,1
0,92,1
1,92,2
2,92,1
3,92,2
4,92,1
6,92,2
7,92,1
8,92,2
9,92,1
7,93,2
9,93,1
3,94,4
4,94,1
9,94,4
11,94,2
9,95,1
9,96,2
11,96,4
4,97,1
5,97,4
9,97,3
2,98,4
0,99,2
1,99,23
3,99,4
4,99,12
5,99,6
9,99,5
10,99,18
10,100,2
0,101,1
1,101,3
1,102,4
7,103,1
9,103,3
0,104,2
1,104,4
2,104,15
3,104,2
4,104,1
5,104,39
7,104,5
8,104,3
9,104,1
10,104,8
11,104,3
5,105,21
6,105,1
7,105,1
9,105,2
10,105,5
8,106,5
9,107,1
0,108,1
1,108,8
2,108,12
3,108,3
4,108,2
5,108,19
6,108,2
7,108,9
8,108,8
9,108,6
10,108,2
11,108,2
1,109,3
2,109,7
3,109,3
4,109,1
5,109,10
6,109,2
7,109,6
8,109,3
9,109,5
10,109,2
2,110,8
3,110,3
6,110,7
8,110,1
10,110,4
6,111,14
7,111,1
10,112,11
6,113,42
11,113,1
6,114,6
7,114,5
9,114,15
10,114,2
1,115,18
2,115,4
4,115,21
7,115,1
9,115,3
11,115,9
0,116,2
1,116,52
2,116,6
4,116,28
5,116,4
6,116,3
7,116,1
9,116,7
11,116,16
4,117,6
7,117,1
9,117,2
11,117,3
10,118,1
10,119,1
10,120,8
0,121,1
6,121,1
10,121,3
0,122,1
1,122,1
2,122,20
3,122,9
4,122,2
5,122,5
6,122,2
7,122,17
8,122,29
9,122,58
10,122,2
11,122,1
1,123,5
2,123,3
3,123,2
4,123,2
5,123,1
8,123,3
9,123,1
10,123,1
3,124,1
5,124,1
6,124,4
7,125,51
8,125,22
9,125,3
10,125,2
11,125,5
5,126,2
10,126,2
3,127,1
9,127,110
11,127,3
10,128,1
9,129,1
5,130,8
0,131,1
4,131,1
6,131,1
10,131,3
5,132,13
8,132,2
10,132,4
4,134,1
5,134,1
9,134,1
4,135,1
10,135,1
9,136,8
0,137,24
1,137,154
2,137,152
3,137,142
4,137,56
5,137,135
6,137,100
7,137,51
8,137,45
9,137,104
10,137,120
11,137,94
11,138,4
9,139,8
1,140,2
2,140,12
3,140,19
4,140,1
6,140,19
7,140,10
8,140,17
9,140,9
10,140,2
11,140,1
5,141,7
4,142,24
5,142,2
8,142,2
9,142,1
10,142,1
11,142,1
0,143,1
10,143,21
1,144,4
4,144,1
5,144,2
6,144,5
1,145,1
9,145,3
2,146,5
3,146,4
4,146,2
10,146,4
11,146,1
2,147,1
6,147,2
8,147,1
10,147,5
11,147,3
3,148,2
4,148,2
4,149,4
11,149,1
5,150,1
10,150,1
0,151,1
1,151,2
2,151,12
3,151,11
4,151,26
5,151,19
6,151,30
7,151,57
8,151,49
9,151,58
10,151,24
11,151,31
0,152,1
6,152,35
9,152,7
0,153,2
2,153,1
3,153,7
4,153,8
5,153,5
6,153,58
7,153,14
8,153,16
9,153,30
10,153,11
11,153,5
0,154,1
1,154,21
2,154,13
3,154,25
4,154,30
5,154,5
6,154,137
7,154,81
8,154,14
9,154,48
10,154,42
11,154,37
10,155,1
4,156,5
1,157,8
3,157,42
4,157,21
5,157,8
6,157,6
7,157,8
8,157,7
9,157,16
10,157,18
11,157,9
3,158,32
4,158,13
6,158,1
7,158,6
9,158,11
10,158,3
11,158,8
5,159,3
0,160,4
4,160,2
5,160,2
7,160,20
8,160,1
9,160,21
10,160,1
11,160,3
1,161,6
2,161,2
3,161,8
4,161,2
5,161,3
8,161,1
9,161,1
10,161,1
0,162,1
4,162,74
5,162,3
6,162,14
7,162,1
9,162,9
10,162,9
11,162,18
1,163,1
4,164,2
1,165,1
0,166,1
2,166,4
3,166,1
6,166,1
7,166,3
9,166,1
2,167,1
7,167,16
8,167,10
9,167,4
0,168,1
1,168,1
3,168,2
4,168,5
6,168,2
7,168,16
8,168,29
9,168,8
10,168,40
7,169,4
8,169,8
3,170,8
4,170,1
7,170,1
10,170,2
8,171,1
5,172,2
3,173,1
9,173,1
3,174,4
